actual_player,predicted_player,top_3_predictions,top_3_correct,top_5_predictions,top_5_correct,top_7_predictions,top_7_correct,top_10_predictions,top_10_correct
Troy Murphy,Troy Murphy,"['Roy Hibbert', 'Tyler Hansbrough', 'Troy Murphy']",True,"['Mike Dunleavy', 'Stephen Jackson', 'Roy Hibbert', 'Tyler Hansbrough', 'Troy Murphy']",True,"['Solomon Hill', 'Shawne Williams', 'Mike Dunleavy', 'Stephen Jackson', 'Roy Hibbert', 'Tyler Hansbrough', 'Troy Murphy']",True,"['Sarunas Jasikevicius', 'T.J. Ford', 'Danny Granger', 'Solomon Hill', 'Shawne Williams', 'Mike Dunleavy', 'Stephen Jackson', 'Roy Hibbert', 'Tyler Hansbrough', 'Troy Murphy']",True
Chuck Hayes,Shane Battier,"['Luis Scola', 'Chuck Hayes', 'Shane Battier']",True,"['Kyle Lowry', 'Rafer Alston', 'Luis Scola', 'Chuck Hayes', 'Shane Battier']",True,"['James Harden', 'Luther Head', 'Kyle Lowry', 'Rafer Alston', 'Luis Scola', 'Chuck Hayes', 'Shane Battier']",True,"['Carl Landry', 'Kevin Martin', 'Juwan Howard', 'James Harden', 'Luther Head', 'Kyle Lowry', 'Rafer Alston', 'Luis Scola', 'Chuck Hayes', 'Shane Battier']",True
Brent Barry,Manu Ginobili,"['Bruce Bowen', 'George Hill', 'Manu Ginobili']",False,"['Matt Bonner', 'Brent Barry', 'Bruce Bowen', 'George Hill', 'Manu Ginobili']",True,"['Gary Neal', 'Fabricio Oberto', 'Matt Bonner', 'Brent Barry', 'Bruce Bowen', 'George Hill', 'Manu Ginobili']",True,"['Michael Finley', 'Danny Green', 'Ime Udoka', 'Gary Neal', 'Fabricio Oberto', 'Matt Bonner', 'Brent Barry', 'Bruce Bowen', 'George Hill', 'Manu Ginobili']",True
Craig Smith,Kevin Garnett,"['Al Jefferson', 'Craig Smith', 'Kevin Garnett']",True,"['Al Horford', 'Corey Brewer', 'Al Jefferson', 'Craig Smith', 'Kevin Garnett']",True,"['Andre Iguodala', 'Kevin Love', 'Al Horford', 'Corey Brewer', 'Al Jefferson', 'Craig Smith', 'Kevin Garnett']",True,"['Dwight Howard', 'Anthony Tolliver', 'Joe Johnson', 'Andre Iguodala', 'Kevin Love', 'Al Horford', 'Corey Brewer', 'Al Jefferson', 'Craig Smith', 'Kevin Garnett']",True
Stromile Swift,Rudy Gay,"['Tarence Kinsey', 'Stromile Swift', 'Rudy Gay']",True,"['Mike Miller', 'Zach Randolph', 'Tarence Kinsey', 'Stromile Swift', 'Rudy Gay']",True,"['Mike Conley', 'Pau Gasol', 'Mike Miller', 'Zach Randolph', 'Tarence Kinsey', 'Stromile Swift', 'Rudy Gay']",True,"['Tony Allen', 'O.J. Mayo', 'Hakim Warrick', 'Mike Conley', 'Pau Gasol', 'Mike Miller', 'Zach Randolph', 'Tarence Kinsey', 'Stromile Swift', 'Rudy Gay']",True
Charlie Bell,Michael Redd,"['Charlie Bell', 'Ersan Ilyasova', 'Michael Redd']",True,"['Andrew Bogut', 'Mo Williams', 'Charlie Bell', 'Ersan Ilyasova', 'Michael Redd']",True,"['Charlie Villanueva', 'Brandon Jennings', 'Andrew Bogut', 'Mo Williams', 'Charlie Bell', 'Ersan Ilyasova', 'Michael Redd']",True,"['Joe Johnson', 'John Salmons', 'Luc Mbah a Moute', 'Charlie Villanueva', 'Brandon Jennings', 'Andrew Bogut', 'Mo Williams', 'Charlie Bell', 'Ersan Ilyasova', 'Michael Redd']",True
Dwyane Wade,Dwyane Wade,"['Dorell Wright', 'James Posey', 'Dwyane Wade']",True,"['Mario Chalmers', 'LeBron James', 'Dorell Wright', 'James Posey', 'Dwyane Wade']",True,"['Gary Payton', 'Antoine Walker', 'Mario Chalmers', 'LeBron James', 'Dorell Wright', 'James Posey', 'Dwyane Wade']",True,"['Udonis Haslem', 'Daequan Cook', 'Joel Anthony', 'Gary Payton', 'Antoine Walker', 'Mario Chalmers', 'LeBron James', 'Dorell Wright', 'James Posey', 'Dwyane Wade']",True
Anderson Varejao,Anderson Varejao,"['Daniel Gibson', 'Alonzo Gee', 'Anderson Varejao']",True,"['Drew Gooden', 'Ben Wallace', 'Daniel Gibson', 'Alonzo Gee', 'Anderson Varejao']",True,"['Damon Jones', 'LeBron James', 'Drew Gooden', 'Ben Wallace', 'Daniel Gibson', 'Alonzo Gee', 'Anderson Varejao']",True,"['Kyrie Irving', 'Antawn Jamison', 'Dion Waiters', 'Damon Jones', 'LeBron James', 'Drew Gooden', 'Ben Wallace', 'Daniel Gibson', 'Alonzo Gee', 'Anderson Varejao']",True
Mickael Pietrus,Monta Ellis,"['Stephen Curry', 'Klay Thompson', 'Monta Ellis']",False,"['Matt Barnes', 'Mickael Pietrus', 'Stephen Curry', 'Klay Thompson', 'Monta Ellis']",True,"['David Lee', 'Kelenna Azubuike', 'Matt Barnes', 'Mickael Pietrus', 'Stephen Curry', 'Klay Thompson', 'Monta Ellis']",True,"['Harrison Barnes', 'Mike Dunleavy', 'Marreese Speights', 'David Lee', 'Kelenna Azubuike', 'Matt Barnes', 'Mickael Pietrus', 'Stephen Curry', 'Klay Thompson', 'Monta Ellis']",True
Yakhouba Diawara,Ty Lawson,"['Yakhouba Diawara', 'Nene Hilario', 'Ty Lawson']",True,"['Marcus Camby', 'Wilson Chandler', 'Yakhouba Diawara', 'Nene Hilario', 'Ty Lawson']",True,"['J.R. Smith', 'Carmelo Anthony', 'Marcus Camby', 'Wilson Chandler', 'Yakhouba Diawara', 'Nene Hilario', 'Ty Lawson']",True,"['Linas Kleiza', 'Kenyon Martin', 'Steve Blake', 'J.R. Smith', 'Carmelo Anthony', 'Marcus Camby', 'Wilson Chandler', 'Yakhouba Diawara', 'Nene Hilario', 'Ty Lawson']",True
